"INDICATOR_SEQ","PARENT_SEQ","AGENCY_NAME","INDICATOR_NAME","DESCRIPTION","CATEGORY","FREQUENCY","DESIRED_CHANGE","INDICATOR_UNIT","DECIMAL_PLACES","PERIOD_YEAR","PERIOD_MONTH","YTD_TARGET","YTD_ACTUAL","MONTHLY_TARGET","MONTHLY_ACTUAL","YYYY_MM"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2013,9,.84,1.00,.84,1.15,"2013-09"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2013,10,.84,.98,.84,.82,"2013-10"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2013,11,.84,.99,.84,.97,"2013-11"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2013,12,.84,.99,.84,1.02,"2013-12"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2014,1,.86,1.09,.86,1.09,"2014-01"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2014,2,.75,.62,.64,.52,"2014-02"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2014,3,.75,.54,.76,.33,"2014-03"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2014,4,.77,.62,.81,.82,"2014-04"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2014,5,.78,.68,.84,1.03,"2014-05"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2014,6,.84,.84,1.14,1.56,"2014-06"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2014,7,.88,.92,1.08,.96,"2014-07"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2014,8,.90,.92,1.08,.94,"2014-08"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2014,9,.91,.92,.93,.88,"2014-09"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2014,10,.91,.89,.93,.66,"2014-10"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2014,11,.88,.88,.60,.76,"2014-11"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2014,12,.87,.98,.72,1.70,"2014-12"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2015,1,0,.51,0,.51,"2015-01"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2015,2,0,.50,0,.49,"2015-02"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2015,3,0,.63,0,.83,"2015-03"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2015,4,0,.72,0,.99,"2015-04"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2015,5,0,.83,0,1.22,"2015-05"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2015,6,0,.86,0,.91,"2015-06"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2015,7,0,.93,0,1.31,"2015-07"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2015,8,0,.96,0,.95,"2015-08"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2015,9,0,.96,0,1.18,"2015-09"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2015,10,0,.93,0,.72,"2015-10"
74040,0,"Bridges and Tunnels","Employee Lost Time Rate","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2008,1,0,.60,0,.60,"2008-01"
74040,0,"Bridges and Tunnels","Employee Lost Time Rate","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2008,2,0,1.30,0,2.00,"2008-02"
74040,0,"Bridges and Tunnels","Employee Lost Time Rate","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2008,3,0,1.30,0,1.30,"2008-03"
74040,0,"Bridges and Tunnels","Employee Lost Time Rate","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2008,4,0,2.10,0,4.30,"2008-04"
74040,0,"Bridges and Tunnels","Employee Lost Time Rate","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2008,5,0,2.30,0,3.20,"2008-05"
74040,0,"Bridges and Tunnels","Employee Lost Time Rate","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2008,6,0,2.20,0,1.90,"2008-06"
74040,0,"Bridges and Tunnels","Employee Lost Time Rate","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2008,7,0,2.40,0,3.70,"2008-07"
74040,0,"Bridges and Tunnels","Employee Lost Time Rate","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2008,8,0,2.20,0,.60,"2008-08"
74040,0,"Bridges and Tunnels","Employee Lost Time Rate","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2008,9,0,2.40,0,3.80,"2008-09"
74040,0,"Bridges and Tunnels","Employee Lost Time Rate","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2008,10,0,2.40,0,2.40,"2008-10"
74040,0,"Bridges and Tunnels","Employee Lost Time Rate","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2008,11,0,2.40,0,2.80,"2008-11"
74040,0,"Bridges and Tunnels","Employee Lost Time Rate","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2008,12,0,2.90,0,8.30,"2008-12"
74040,0,"Bridges and Tunnels","Employee Lost Time Rate","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2009,1,2.80,.60,2.80,.60,"2009-01"
74040,0,"Bridges and Tunnels","Employee Lost Time Rate","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2009,2,2.80,1.00,2.80,1.40,"2009-02"
74040,0,"Bridges and Tunnels","Employee Lost Time Rate","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2009,3,2.80,1.70,2.80,3.10,"2009-03"
74040,0,"Bridges and Tunnels","Employee Lost Time Rate","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2009,4,2.80,1.80,2.80,1.90,"2009-04"
74040,0,"Bridges and Tunnels","Employee Lost Time Rate","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2009,5,2.80,1.80,2.80,2.00,"2009-05"
74040,0,"Bridges and Tunnels","Employee Lost Time Rate","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2009,6,2.80,1.80,2.80,1.90,"2009-06"
74040,0,"Bridges and Tunnels","Employee Lost Time Rate","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2009,7,2.80,2.10,2.80,3.80,"2009-07"
74040,0,"Bridges and Tunnels","Employee Lost Time Rate","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2009,8,2.80,2.40,2.80,4.00,"2009-08"
74040,0,"Bridges and Tunnels","Employee Lost Time Rate","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2009,9,2.80,2.60,2.80,4.60,"2009-09"
74040,0,"Bridges and Tunnels","Employee Lost Time Rate","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2009,10,2.80,2.50,2.80,1.30,"2009-10"
74040,0,"Bridges and Tunnels","Employee Lost Time Rate","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2009,11,2.80,2.40,2.80,1.40,"2009-11"
74040,0,"Bridges and Tunnels","Employee Lost Time Rate","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2009,12,2.80,2.60,2.80,4.50,"2009-12"
74040,0,"Bridges and Tunnels","Employee Lost Time Rate","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2010,1,2.70,6.10,2.70,6.10,"2010-01"
74040,0,"Bridges and Tunnels","Employee Lost Time Rate","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2010,2,2.70,6.00,2.70,5.90,"2010-02"
74040,0,"Bridges and Tunnels","Employee Lost Time Rate","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2010,3,2.70,6.50,2.70,7.60,"2010-03"
74040,0,"Bridges and Tunnels","Employee Lost Time Rate","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2010,4,2.70,7.00,2.70,8.30,"2010-04"
